model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,fit_time_mean
1_RandomForest,0.9998003326303637,0.00028237230210304215,0.999801338433612,0.0002809498815081918,0.9998000399920016,0.00028278615524359216,0.9998000399920016,0.00028278615524359216,0.31172410647074383
5_GradientBoosting,0.9998003326303637,0.00028237230210304215,0.999801338433612,0.0002809498815081918,0.9998000399920016,0.00028278615524359216,0.9998000399920016,0.00028278615524359216,3.825781981150309
9_AdaBoost,0.9998003326303637,0.00028237230210304215,0.999801338433612,0.0002809498815081918,0.9998000399920016,0.00028278615524359216,0.9998000399920016,0.00028278615524359216,1.2763885656992595
E1_VotingClassifier,0.9992004972215067,0.0002810584945500126,0.9992053472492505,0.00027601020434122616,0.9991999199199775,0.0002831256344215249,0.9991999199199775,0.0002831256344215249,0.5257596969604492
E2_StackingClassifier,0.9990001286730643,0.0005644224132303301,0.9990025699754835,0.000562780575043476,0.9989998398879648,0.0005660815292540833,0.9989998398879648,0.0005660815292540833,2.876629114151001
2_XGBoost,0.9986009011644278,0.00028137495684992544,0.9986081955725594,0.00028320605981518887,0.9986000398959823,0.0002826165685731069,0.9986000398959823,0.0002826165685731069,0.08824316660563152
3_LightGBM,0.9979922547994419,0.0007570689226958738,0.9980063245418894,0.0007449115322767592,0.9980000398479728,0.0007480857748069839,0.9980000398479728,0.0007480857748069839,0.31534918149312335
4_CatBoost,0.9967792338333507,0.0024500599532297222,0.996797136021461,0.0024369526818166483,0.9968003998239968,0.002415927320045845,0.9968003998239968,0.002415927320045845,0.7606578667958578
6_ExtraTrees,0.994592190449954,0.0014857665178353821,0.9946042964191099,0.0015132116778114064,0.9946003596399567,0.0014685180611878296,0.9946003596399567,0.0014685180611878296,0.16327397028605142
8_LogisticRegression,0.9727694617008068,0.004350554869664338,0.9770805104882073,0.0030864044467639614,0.9711996376234957,0.0048262612583949375,0.9711996376234957,0.0048262612583949375,0.014394283294677734
10_GaussianNB,0.9305764990817442,0.00879528938206708,0.9541054116309957,0.005345901033599802,0.9210029542710906,0.010627084991527274,0.9210029542710906,0.010627084991527274,0.002563317616780599
