model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,fit_time_mean
1_RandomForest,0.9821197880356927,0.0016252872056541751,0.9826598682475045,0.0015633339350398768,0.9823995585036654,0.001580020150303751,0.9823995585036654,0.001580020150303751,0.7232208251953125
E1_VotingClassifier,0.9820986324224071,0.0007885635452163795,0.9827509698854299,0.000690745810912984,0.9823997985516942,0.0007531558643159336,0.9823997985516942,0.0007531558643159336,1.411861737569173
E2_StackingClassifier,0.9820986324224071,0.0007885635452163795,0.9827509698854299,0.000690745810912984,0.9823997985516942,0.0007531558643159336,0.9823997985516942,0.0007531558643159336,4.759501854578654
3_LightGBM,0.9818907299631658,0.0010703432260905788,0.9825600276636198,0.0009524643428819065,0.9821997185196815,0.0010248734697814639,0.9821997185196815,0.0010248734697814639,1.2239789962768555
4_CatBoost,0.9810769380390615,0.0010301605604643516,0.9817331046639143,0.0009158862015806208,0.9813997584636733,0.0009844549212960354,0.9813997584636733,0.0009844549212960354,0.7391683260599772
5_GradientBoosting,0.9807193705896493,0.0016005221345733432,0.9811625924369324,0.0016349823306344591,0.9809997184236622,0.0015781209095054244,0.9809997184236622,0.0015781209095054244,6.159570376078288
2_XGBoost,0.9806723099855352,0.00026480749481460714,0.9813152072379324,0.0003539468849233998,0.9810000784957054,0.00027752422798516413,0.9810000784957054,0.00027752422798516413,0.24445557594299316
9_AdaBoost,0.9795842757798056,0.0036316470129226556,0.9805014213792188,0.0033090712078633934,0.9799990782155694,0.0034814482456047725,0.9799990782155694,0.0034814482456047725,1.297273874282837
6_ExtraTrees,0.9774809969531498,0.0008769049207915245,0.9778328033701289,0.0008496850546537486,0.9777998781996303,0.0008516018382320685,0.9777998781996303,0.0008516018382320685,0.1989757219950358
8_LogisticRegression,0.89796567681265,0.002728472957769789,0.9101082855116877,0.0039115239532983665,0.8931992713102037,0.002756261300155664,0.8931992713102037,0.002756261300155664,0.02765941619873047
10_GaussianNB,0.8269875839879944,0.007514853431771103,0.8360968103155656,0.006950278789784625,0.8209977452288654,0.007986852627731087,0.8209977452288654,0.007986852627731087,0.0023293495178222656
